2459686.15652825	2mass_B_20220416153957_30s_0063.fits
2459686.15906303	2mass_B_20220416154336_30s_0066.fits
2459686.16156305	2mass_B_20220416154712_30s_0069.fits
2459686.16444502	2mass_B_20220416155122_30s_0072.fits
2459686.16704924	2mass_B_20220416155507_30s_0075.fits
2459686.1701511	2mass_B_20220416155935_30s_0078.fits
2459686.17322983	2mass_B_20220416160401_30s_0081.fits
2459686.17643588	2mass_B_20220416160838_30s_0084.fits
2459686.17863501	2mass_B_20220416161147_30s_0087.fits
2459686.18082252	2mass_B_20220416161457_30s_0090.fits
2459686.18350774	2mass_B_20220416161849_30s_0093.fits
2459686.18586883	2mass_B_20220416162213_30s_0096.fits
2459686.18833422	2mass_B_20220416162545_30s_0099.fits
2459686.1906953	2mass_B_20220416162910_30s_0102.fits
2459686.19320689	2mass_B_20220416163247_30s_0105.fits
2459686.19622775	2mass_B_20220416163708_30s_0108.fits
2459686.19842688	2mass_B_20220416164018_30s_0111.fits
2459686.2009269	2mass_B_20220416164353_30s_0114.fits
2459686.2040172	2mass_B_20220416164821_30s_0117.fits
2459686.20694549	2mass_B_20220416165233_30s_0120.fits
2459686.209133	2mass_B_20220416165543_30s_0123.fits
2459686.21176034	2mass_B_20220416165930_30s_0126.fits
2459686.2144455	2mass_B_20220416170321_30s_0129.fits
2459686.21744329	2mass_B_20220416170741_30s_0132.fits
2459686.22071877	2mass_B_20220416171223_30s_0135.fits
2459686.22332299	2mass_B_20220416171609_30s_0138.fits
2459686.22584608	2mass_B_20220416171947_30s_0141.fits
2459686.22847348	2mass_B_20220416172333_30s_0144.fits
2459686.23128601	2mass_B_20220416172736_30s_0147.fits
2459686.23392492	2mass_B_20220416173124_30s_0150.fits
2459686.23611243	2mass_B_20220416173434_30s_0153.fits
2459686.23901759	2mass_B_20220416173845_30s_0156.fits
2459686.24163331	2mass_B_20220416174231_30s_0159.fits
2459686.24466578	2mass_B_20220416174653_30s_0162.fits
2459686.24722363	2mass_B_20220416175034_30s_0165.fits
2459686.25015191	2mass_B_20220416175447_30s_0168.fits
2459686.25284869	2mass_B_20220416175840_30s_0171.fits
2459686.25541816	2mass_B_20220416180221_30s_0174.fits
2459686.25803399	2mass_B_20220416180608_30s_0177.fits
2459686.26093903	2mass_B_20220416181018_30s_0180.fits
2459686.26365906	2mass_B_20220416181413_30s_0183.fits
2459686.26661048	2mass_B_20220416181829_30s_0186.fits
2459686.26900625	2mass_B_20220416182156_30s_0189.fits
2459686.27136745	2mass_B_20220416182520_30s_0192.fits
2459686.27370541	2mass_B_20220416182842_30s_0195.fits
2459686.27608968	2mass_B_20220416183208_30s_0198.fits
2459686.27845082	2mass_B_20220416183532_30s_0201.fits
2459686.2808004	2mass_B_20220416183855_30s_0204.fits
2459686.28299954	2mass_B_20220416184205_30s_0207.fits
2459686.28613609	2mass_B_20220416184635_30s_0210.fits
2459686.28833522	2mass_B_20220416184946_30s_0213.fits
2459686.29082362	2mass_B_20220416185321_30s_0216.fits
2459686.29326577	2mass_B_20220416185652_30s_0219.fits
2459686.2957311	2mass_B_20220416190025_30s_0222.fits
2459686.2986247	2mass_B_20220416190434_30s_0225.fits
2459686.30082378	2mass_B_20220416190745_30s_0228.fits
2459686.30321961	2mass_B_20220416191112_30s_0231.fits
2459686.30555757	2mass_B_20220416191433_30s_0234.fits
2459686.30793033	2mass_B_20220416191758_30s_0237.fits
2459686.31037248	2mass_B_20220416192130_30s_0240.fits
2459686.31341646	2mass_B_20220416192553_30s_0243.fits
2459686.3156156	2mass_B_20220416192903_30s_0246.fits
2459686.31808087	2mass_B_20220416193235_30s_0249.fits
2459686.32048827	2mass_B_20220416193603_30s_0252.fits
2459686.32282634	2mass_B_20220416193926_30s_0255.fits
2459686.32526849	2mass_B_20220416194257_30s_0258.fits
2459686.32759488	2mass_B_20220416194617_30s_0261.fits
2459686.32990971	2mass_B_20220416194937_30s_0264.fits
2459686.33222454	2mass_B_20220416195258_30s_0267.fits
2459686.33514127	2mass_B_20220416195710_30s_0270.fits
2459686.33764123	2mass_B_20220416200046_30s_0273.fits
2459686.34007187	2mass_B_20220416200416_30s_0276.fits
2459686.34305804	2mass_B_20220416200833_30s_0279.fits
2459686.34547694	2mass_B_20220416201203_30s_0282.fits
2459686.34779189	2mass_B_20220416201522_30s_0285.fits
2459686.35009509	2mass_B_20220416201841_30s_0288.fits
2459686.35239842	2mass_B_20220416202200_30s_0291.fits
2459686.35470163	2mass_B_20220416202519_30s_0294.fits
2459686.35699333	2mass_B_20220416202837_30s_0297.fits
2459686.35046095	2mass_B_20220416203155_30s_0300.fits
2459686.35275123	2mass_B_20220416203513_30s_0303.fits
