3*R,4*R,5*R,6.25*R,7*R,8*R,9*R,10*R,WAVE,HJD,ID
13.708,13.653,13.628,13.616,13.608,13.607,13.596,13.572,B,2022-4-16T16:32:47,1
15.003,14.942,14.91,14.933,14.912,14.857,14.807,14.775,B,2022-4-16T16:32:47,2
15.344,15.268,15.253,15.288,15.285,15.33,15.359,15.402,B,2022-4-16T16:32:47,3
14.384,14.301,14.272,14.234,14.22,14.188,14.174,14.173,B,2022-4-16T16:32:47,4
13.771,13.696,13.673,13.637,13.631,13.623,13.626,13.638,B,2022-4-16T16:37:8,1
15.042,14.945,14.909,14.843,14.831,14.794,14.753,14.745,B,2022-4-16T16:37:8,2
15.322,15.279,15.273,15.297,15.313,15.256,15.295,15.307,B,2022-4-16T16:37:8,3
14.436,14.361,14.327,14.287,14.281,14.263,14.256,14.222,B,2022-4-16T16:37:8,4
13.739,13.685,13.653,13.647,13.638,13.631,13.62,13.625,B,2022-4-16T16:40:18,1
15.016,14.954,14.935,14.944,14.939,14.905,14.884,14.877,B,2022-4-16T16:40:18,2
15.282,15.244,15.21,15.23,15.2,15.176,15.212,15.197,B,2022-4-16T16:40:18,3
14.417,14.379,14.36,14.334,14.315,14.323,14.306,14.284,B,2022-4-16T16:40:18,4
13.735,13.667,13.657,13.649,13.647,13.645,13.643,13.634,B,2022-4-16T16:43:53,1
15.001,14.939,14.899,14.832,14.81,14.829,14.839,14.881,B,2022-4-16T16:43:53,2
15.327,15.263,15.299,15.322,15.296,15.26,15.246,15.219,B,2022-4-16T16:43:53,3
14.383,14.314,14.297,14.259,14.26,14.254,14.268,14.288,B,2022-4-16T16:43:53,4
13.75,13.675,13.64,13.624,13.625,13.625,13.619,13.624,B,2022-4-16T16:48:21,1
15.049,14.977,14.96,14.972,14.955,15.021,15.067,15.087,B,2022-4-16T16:48:21,2
15.348,15.251,15.257,15.206,15.229,15.304,15.271,15.423,B,2022-4-16T16:48:21,3
14.389,14.314,14.28,14.28,14.258,14.262,14.268,14.276,B,2022-4-16T16:48:21,4
13.71,13.646,13.621,13.611,13.615,13.607,13.592,13.606,B,2022-4-16T16:52:33,1
15.057,15.004,14.946,14.925,14.89,14.918,14.896,14.899,B,2022-4-16T16:52:33,2
15.332,15.284,15.249,15.159,15.154,15.14,15.146,15.137,B,2022-4-16T16:52:33,3
14.375,14.311,14.267,14.255,14.263,14.283,14.256,14.248,B,2022-4-16T16:52:33,4
13.698,13.646,13.631,13.62,13.609,13.608,13.593,13.596,B,2022-4-16T16:55:43,1
15.004,14.959,14.922,14.89,14.877,14.865,14.837,14.846,B,2022-4-16T16:55:43,2
15.343,15.315,15.284,15.276,15.253,15.243,15.269,15.273,B,2022-4-16T16:55:43,3
14.357,14.29,14.269,14.243,14.236,14.243,14.248,14.257,B,2022-4-16T16:55:43,4
13.713,13.657,13.638,13.626,13.609,13.613,13.609,13.603,B,2022-4-16T16:59:30,1
14.965,14.932,14.904,14.865,14.85,14.839,14.813,14.831,B,2022-4-16T16:59:30,2
15.341,15.291,15.265,15.285,15.272,15.247,15.266,15.214,B,2022-4-16T16:59:30,3
14.364,14.276,14.249,14.256,14.245,14.227,14.204,14.22,B,2022-4-16T16:59:30,4
13.701,13.65,13.634,13.632,13.623,13.624,13.639,13.639,B,2022-4-16T17:3:21,1
14.984,14.931,14.885,14.853,14.831,14.814,14.801,14.788,B,2022-4-16T17:3:21,2
15.3,15.266,15.213,15.217,15.168,15.151,15.132,15.087,B,2022-4-16T17:3:21,3
14.346,14.283,14.256,14.255,14.253,14.244,14.218,14.196,B,2022-4-16T17:3:21,4
13.708,13.653,13.636,13.623,13.606,13.597,13.585,13.584,B,2022-4-16T17:7:41,1
14.986,14.937,14.914,14.889,14.888,14.943,14.972,15.013,B,2022-4-16T17:7:41,2
15.256,15.281,15.246,15.234,15.169,15.155,15.195,15.156,B,2022-4-16T17:7:41,3
14.365,14.324,14.304,14.299,14.278,14.274,14.288,14.333,B,2022-4-16T17:7:41,4
13.714,13.654,13.63,13.614,13.611,13.622,13.625,13.628,B,2022-4-16T17:12:23,1
14.976,14.926,14.92,14.912,14.881,14.852,14.842,14.818,B,2022-4-16T17:12:23,2
15.308,15.291,15.266,15.295,15.286,15.352,15.376,15.396,B,2022-4-16T17:12:23,3
14.365,14.29,14.262,14.257,14.256,14.27,14.292,14.27,B,2022-4-16T17:12:23,4
13.697,13.626,13.596,13.576,13.56,13.56,13.555,13.554,B,2022-4-16T17:16:9,1
14.97,14.896,14.931,14.893,14.907,14.918,14.898,14.849,B,2022-4-16T17:16:9,2
15.261,15.186,15.174,15.159,15.148,15.203,15.212,15.189,B,2022-4-16T17:16:9,3
14.37,14.299,14.272,14.258,14.247,14.242,14.242,14.259,B,2022-4-16T17:16:9,4
13.693,13.632,13.611,13.601,13.587,13.583,13.587,13.591,B,2022-4-16T17:19:47,1
14.97,14.934,14.897,14.859,14.856,14.857,14.855,14.877,B,2022-4-16T17:19:47,2
15.264,15.181,15.103,15.091,15.082,15.098,15.107,15.047,B,2022-4-16T17:19:47,3
14.366,14.302,14.279,14.255,14.243,14.279,14.277,14.28,B,2022-4-16T17:19:47,4
13.686,13.638,13.619,13.618,13.612,13.616,13.623,13.626,B,2022-4-16T17:23:33,1
14.931,14.9,14.869,14.857,14.837,14.838,14.82,14.801,B,2022-4-16T17:23:33,2
15.242,15.193,15.202,15.182,15.156,15.128,15.135,15.15,B,2022-4-16T17:23:33,3
14.31,14.247,14.223,14.208,14.187,14.177,14.163,14.138,B,2022-4-16T17:23:33,4
13.695,13.644,13.62,13.597,13.596,13.58,13.573,13.579,B,2022-4-16T17:27:36,1
14.973,14.89,14.877,14.883,14.866,14.869,14.86,14.82,B,2022-4-16T17:27:36,2
15.259,15.21,15.198,15.171,15.219,15.249,15.27,15.331,B,2022-4-16T17:27:36,3
14.354,14.318,14.299,14.288,14.276,14.268,14.281,14.28,B,2022-4-16T17:27:36,4
13.71,13.638,13.615,13.591,13.588,13.588,13.582,13.578,B,2022-4-16T17:31:24,1
14.997,14.905,14.87,14.851,14.85,14.845,14.846,14.852,B,2022-4-16T17:31:24,2
15.315,15.26,15.213,15.194,15.177,15.18,15.232,15.162,B,2022-4-16T17:31:24,3
14.338,14.28,14.249,14.236,14.232,14.2,14.204,14.215,B,2022-4-16T17:31:24,4
13.686,13.641,13.627,13.595,13.589,13.595,13.589,13.59,B,2022-4-16T17:34:34,1
14.949,14.878,14.831,14.801,14.77,14.715,14.69,14.658,B,2022-4-16T17:34:34,2
15.281,15.195,15.197,15.246,15.205,15.153,15.126,15.082,B,2022-4-16T17:34:34,3
14.345,14.299,14.282,14.261,14.26,14.259,14.257,14.265,B,2022-4-16T17:34:34,4
13.695,13.644,13.619,13.599,13.588,13.576,13.579,13.576,B,2022-4-16T17:38:45,1
14.951,14.866,14.829,14.81,14.8,14.784,14.78,14.837,B,2022-4-16T17:38:45,2
15.324,15.267,15.229,15.228,15.26,15.244,15.24,15.252,B,2022-4-16T17:38:45,3
14.339,14.277,14.228,14.22,14.208,14.198,14.189,14.177,B,2022-4-16T17:38:45,4
13.711,13.625,13.591,13.566,13.559,13.539,13.531,13.522,B,2022-4-16T17:42:31,1
14.983,14.895,14.853,14.817,14.82,14.791,14.748,14.751,B,2022-4-16T17:42:31,2
