13.972  13.807  13.727  13.683  13.661  13.654  13.651  13.628  0.014  0.015  0.018  0.021  0.023  0.027  0.030  0.034  2mass_B_20220416153957_  1
15.271  15.088  15.065  15.041  14.991  15.025  15.013  15.048  0.044  0.050  0.061  0.076  0.082  0.098  0.112  0.131  2mass_B_20220416153957_  2
15.598  15.394  15.328  15.301  15.258  15.230  15.253  15.317  0.060  0.066  0.078  0.097  0.105  0.120  0.141  0.170  2mass_B_20220416153957_  3
14.715  14.536  14.452  14.425  14.420  14.398  14.428  14.424  0.027  0.029  0.034  0.042  0.047  0.054  0.063  0.072  2mass_B_20220416153957_  4
13.885  13.768  13.711  13.688  13.676  13.683  13.673  13.669  0.014  0.016  0.018  0.022  0.025  0.029  0.033  0.037  2mass_B_20220416154336_  1
15.171  15.029  15.001  14.949  14.911  14.911  14.877  14.864  0.039  0.045  0.055  0.067  0.073  0.085  0.095  0.106  2mass_B_20220416154336_  2
15.601  15.443  15.373  15.313  15.327  15.316  15.374  15.425  0.059  0.068  0.080  0.096  0.111  0.128  0.155  0.184  2mass_B_20220416154336_  3
14.658  14.518  14.495  14.475  14.468  14.497  14.442  14.433  0.026  0.029  0.036  0.045  0.050  0.060  0.065  0.074  2mass_B_20220416154336_  4
13.869  13.760  13.710  13.695  13.694  13.694  13.694  13.702  0.013  0.016  0.018  0.022  0.025  0.029  0.034  0.038  2mass_B_20220416154712_  1
15.198  15.113  15.064  15.091  15.105  15.062  15.065  15.072  0.041  0.049  0.059  0.077  0.088  0.099  0.114  0.130  2mass_B_20220416154712_  2
15.588  15.544  15.541  15.477  15.488  15.503  15.539  15.568  0.060  0.077  0.096  0.115  0.132  0.156  0.185  0.217  2mass_B_20220416154712_  3
14.593  14.490  14.459  14.433  14.432  14.405  14.424  14.420  0.023  0.028  0.034  0.041  0.047  0.053  0.062  0.070  2mass_B_20220416154712_  4
13.814  13.714  13.682  13.672  13.670  13.675  13.685  13.682  0.013  0.015  0.018  0.022  0.024  0.028  0.033  0.037  2mass_B_20220416155122_  1
15.134  15.045  14.988  14.927  14.905  14.865  14.885  14.869  0.038  0.046  0.054  0.065  0.072  0.081  0.095  0.106  2mass_B_20220416155122_  2
15.494  15.405  15.358  15.327  15.272  15.257  15.234  15.252  0.053  0.065  0.078  0.097  0.104  0.120  0.135  0.156  2mass_B_20220416155122_  3
14.579  14.492  14.446  14.393  14.357  14.325  14.317  14.302  0.024  0.028  0.034  0.041  0.044  0.050  0.057  0.064  2mass_B_20220416155122_  4
13.804  13.717  13.687  13.654  13.647  13.643  13.649  13.666  0.012  0.015  0.017  0.021  0.024  0.027  0.031  0.036  2mass_B_20220416155507_  1
